"listasitiosnombre","listasitioscolombiaurl"
" N u e v o  E s t a d i o ","http://www.nuevoestadio.com/"
" P a s o  B e a t ","http://www.pasobeat.com/"
" P l a n e t a  M a c o n d o ","http://www.planetamacondo.com/"
" R e v i s t a  A X X I S ","http://www.revistaaxxis.com.co/"
" R e v i s t a  C o n t a c t o ","http://www.revistacontacto.net/"
" R e v i s t a  I n m u e b l e s ","http://www.revistainmuebles.com/"
" R e v i s t a  N ú m e r o ","http://www.revistanumero.com/"
" R e v i s t a  P r o m e t e o ","http://www.epm.net.co/VIIfestivalpoesia/html/revista.html"
" R e v i s t a  T e m a s ","http://hemeroteca.icfes.gov.co/revistas/temas/"
" S a l u d  C o l o m b i a ","http://www.saludcolombia.com/"
" S e g u r i d a d  S o c i a l  a l  D í a ","http://www.seguridadsocial.com.co/"
" S o n o t o n e ","http://www.sonotone.com/"
" S p o r t s  C o l o m b i a ","http://www.sportscolombia.com/"
" T e n d e n c i a s ","http://www.revistafacea.freeservers.com/"
" T o r o s  y  T o r e r o s ","http://www.torosytoreros.com/"
" T r e s  O j o s ","http://www.tresojos.com/"
" V l a d d o m a n í a ","http://www.vladdo.com/"
" Z o n a  G i r a n t e ","http://www.zonagirante.com/"
" E R B O L ","http://www.megalink.com/erbol/welcome.html"
" A g e n c i a  d e  N o t i c i a s  N u e v a  C o l o m b i a ","http://home.swipnet.se/anncol/"
" A P  C o l o m b i a ","http://www.ap.org.co/"
" S u p e r  E s t a c i o n  C o l u m b i a ","http://www.superestacion.com.co/"
" S u p e r  E s t a c i ó n ","http://www.889.com.co/"
" H J C K ","http://www.orquidea.com/hjck/"
" J a v e r i a n a  E s t e r e o ","http://www.javeriana.edu.co/91.9/PRESENTA91.9.html"
" L a  Z ","http://www.todelar.com.co/la_z.htm"
" L a  F M ","http://www.rcn.com.co/"
" R a d i o d i f u s o r a  N a c i o n a l  C l a s i c a ","http://inravision.com.co/radiodifusora/fm/"
" E l  M u n d o  D i n e r s ","http://www.mudiners.com.co/"
" O x i g e n o ","http://www.caracol.com.co/Oxigeno"
" R a d i o  A c t i v a ","http://www.radioactiva.com.co/"
" R a d i o a c t i v a ","http://www.radioactiva.com/"
" R a d i o d i f u s o r a  N a c i o n a l  J o v e n ","http://inravision.com.co/radiodifusora/991/"
" A m o r  E s t é r e o  ( R C N ) ","http://www.rcnbucaramanga.com/amorst.asp"
" C a r a c o l  C a d e n a  E s t e r e o ","http://www.caracol.com.co/"
" R a d i o  C a r a c o l ","http://www.caracol.com.co"
" C o r a z o n  E s t e r e o ","http://www.caracol.com.co/"
" C a r a c o l  C a d e n a  B a s i c a ","http://www.caracol.com.co/"
" T r o p i c a n a  S t e r e o ","http://www.tropicanafm.com"
" L a  X ","http://www.todelar.com.co/la_x.htm"
" L a  V a l l e n a t a ","http://www.lavallenata.com/"
" U n i v a l l e  E s t e r e o ","http://uv-stereo.univalle.edu.co/"
" O l í m p i c a  S t e r e o ","http://www.1059.com.co/"
" 8 8 . 9  S u p e r  S t e r e o ","http://www.889.com.co/"
" R a d i o  K l a r i d a d ","http://www.rcnradioklaridad.com/"
" R a d i o d i f u s o r a  N a c i o n a l  d e  C o l o m b i a  B o g o t a ","http://inravision.com.co/radiodifusora/am/"
" R C N  R a d i o ","http://www.rcn.com.co/"
" R C N  I n t e r n a c i o n a l ","http://www.rcn.com.co/"
" L a  M e g a ","http://www.rcn.com.co/"
" L a  M e g a  d e l  C a f é ","http://www.lamegadelcafe.com"
" C a r a c o l  C a d e n a  B a s i c a ","http://www.caracol.com.co/"
" R a d i o  U n i c a ","http://www.todelar.com.co/radio_unica.htm"
" R a d i o  M a r i a ","http://www.radiomariacol.org/"
" R a d i o  Q ","http://www.todelar.com.co/radio_q.htm"
" R a d i o  U n o ","http://www.rcn.com.co/"
" R a d i o  M a r i a ","http://www.radiomariacol.org/"
" C a r a c o l  -  C o l u m b i a ","http://www.caracol.com.co/"
" R a d i o d i f u s o r a  N a c i o n a l  d e  C o l o m b i a  I n t e r n a c i o n a l ","http://inravision.com.co/radiodifusora/onda/"
" C l a s i c a ","http://inravision.com.co/radiodifusora/fm/"
" U M - F M ","http://www.umfm.8m.com/"
" R a d i o d i f u s o r a  N a c i o n a l  d e  C o l o m b i a  B o g o t a ","http://inravision.com.co/radiodifusora/am/"
" O x i g e n o ","http://www.morfeo.com/sitiomorfeo/descripciondummy.asp?pfid=76&pid=8&DeptId=500"
" C l a s i c a ","http://inravision.com.co/radiodifusora/fm/"
" L a  X ","http://www.todelar.com.co/la_x.htm"
" L a  Z ","http://www.todelar.com.co/la_z.htm"
" U n i v a l l e  E s t e r e o  1 0 5 . 3  F M ","http://mafalda.univalle.edu.co/~servinfo/emisora.html"
" U n i v a l l e  E s t e r e o ","http://uv-stereo.univalle.edu.co/"
" R a d i o d i f u s o r a  N a c i o n a l  d e  C o l o m b i a  B o g o t a ","http://inravision.com.co/radiodifusora/am/"
" R a d i o  Q ","http://www.todelar.com.co/radio_q.htm"
" R a d i o  M a r i a ","http://www.radiomariacol.org/"
" R a d i o  U n i c a ","http://www.todelar.com.co/radio_unica.htm"
" R a d i o  M a r i a ","http://www.radiomariacol.org/"
" E l  M u n d o  D i n e r s ","http://www.mudiners.com.co/"
" L a  X ","http://www.todelar.com.co/la_x.htm"
" B a n a n a  S t e r e o ","mailto:bananast@edatel.net.co"
" R a d i o  B o l i v a r i a n a  F . M . ","http://www.upb.edu.co/empresas/radioupb"
" F M  S i n i g u a l ","http://www.uco.edu.co/emisora/barra.htm"
" R a d i o  M a r i a ","http://www.radiomariacol.org/"
" V e r c r u z  E s t e r e o ","http://www.veracruz.com.co/"
" C l a s i c a ","http://inravision.com.co/radiodifusora/fm/"
" L a  Z ","http://www.todelar.com.co/la_z.htm"
" R a d i o d i f u s o r a  N a c i o n a l  d e  C o l o m b i a  B o g o t a ","http://inravision.com.co/radiodifusora/am/"
" R a d i o  B o l i v a r i a n a  A . M ","http://www.upb.edu.co/empresas/radioupb"
" R a d i o  U n i c a ","http://www.todelar.com.co/radio_unica.htm"
" R a d i o  Q ","http://www.todelar.com.co/radio_q.htm"
" L a  M í a ","http://www.lamia.com.co/"
" R a d i o  U n o  ( R C N ) ","http://www.rcnbucaramanga.com/radiouno.asp"
" C l a s i c a ","http://inravision.com.co/radiodifusora/fm/"
" C l a s i c a ","http://inravision.com.co/radiodifusora/fm/"
" R u m b a  S t e r e o  ( R C N ) ","http://www.rcnbucaramanga.com/rumba.asp"
" L a  M e g a  1 0 6 . 7  ( R C N ) ","http://www.rcnbucaramanga.com/lamega.asp"
" R C N  B á s i c a ","http://www.rcnbucaramanga.com/basica.asp"
" R a d i o  S a n t a n d e r  ( R C N ) ","http://www.rcnbucaramanga.com/rsantander.asp"
" A n t e n a  2  ( R C N ) ","http://www.rcnbucaramanga.com/antena2.asp"
" S e n s a c i ó n  S t é r e o ","http://sensacionstereo.tripod.com/"
" T o l i m a  F . M .  E s t e r e o ","http://www.tolimafm.com.co/"
" T o d e l a r  C a d e n a  N a c i o n a l ","http://www.todelar.com.co/"
" S u n s e t  R a d i o ","http://www.sunsetradio.com/nations/co/co01a.html"
" C a d e n a  S ú p e r ","http://www.cadenasuper.com.co"
" C a r a c o l  M i a m i ","http://www.caracolusa.com/"
" E m i s o r a  C u l t u r a l  R e m i g i o  A n t o n i o  C a ñ a r t e ","http://www.dondevives.com/icp/emisora/body_emisora.html"
" R a d i o d i f u s o r a  N a c i o n a l  d e  C o l o m b i a  I n t e r n a c i o n a l ","http://inravision.com.co/radiodifusora/onda/"
" R C N  I n t e r n a c i o n a l ","http://www.rcn.com.co/"
" C a d e n a  U n o ","http://www.cadena1.com.co/"
" C a n a l  A ","http://www.canal-a.com/"
" C a n a l  R C N ","http://www.canalrcn.com"
" C a r a c o l  T e l e v i s i ó n ","http://www.caracoltv.com/"
" R T V  T e l e v i s i ó n ","http://www.rtv-tv.com.co/"
" S k y  T e l e v i s i ó n  S a t e l i t a l ","http://www.sky.com.co"
" T e l e a n t i o q u i a ","http://teleantioquia.com.co/"
" T e l e a r m e n i a ","http://www.telearmenia.net.co/"
" T V  H o y ","http://www.tvhoy.com.co/"
" C a n a l  C a p i t a l ","http://www.canalcapital.com.co/"
" T e l e p a c i f i c o ","http://www.telepacifico.com/"
" O l y m p i c a  T V ","http://www.oro.com.co/telev.html"
" T e l e M e d e l l i n ","http://www.telemedellin.com.co/"
" D i r e c T V  C o l u m b i a ","http://www.colombianet.net/directv"
" E P M  T V ","http://www.epmtv.com.co"
" T V  C a b l e ","http://www.cable.net.co"
" C o l o m b i a n a  d e  T e l e v i s i o n ","http://www.coltevision.com/"
" V í a  A l t e r n a ","http://www.viaalterna.com.co"
" R a d i o N e t ","http://www.radionet.com.co"
" P r e n s a  N e t ","http://www.prensanet.com/"
" T V H o y ","http://www.tvhoy.com.co/"
" l o s c h i s m e s . c o m ","http://www.loschismes.com"
" E n l a j u g a d a . c o m ","http://www.enlajugada.com/"
" F a r a n d u l a . c o m ","http://www.farandula.com/"
" I n E T ","http://warpedreality.com/inet/"
" I n t e r n e t A l d i a . c o m ","http://internetaldia.com/"
" L a t i n - I t ","http://www.latin-it.com/"
" M o d a  e n  L í n e a ","http://www.revistaml.com/"
" E l  P e r i ó d i c o  D i g i t a l ","http://www.serweb.com/periodi.html"
" E l  D i a r i o  O n - L i n e ","http://www.eldiario.com.co/hoy/index.html"
" S a n t a  M a r t a  O n l i n e ","http://www.compunet.net.co/online/"
